
Tue Jul 14 10:09:00 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:09:01 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:09:01 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:09:09 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:09:12 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:09:13 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:09:14 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:09:14 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:09:15 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:09:16 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:09:16 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:09:17 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:09:18 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:09:19 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:09:19 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:09:20 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:09:21 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:16:24 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:16:24 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:16:24 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:16:26 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:16:26 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:16:27 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:16:28 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:16:28 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:16:29 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:16:29 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:16:30 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:16:32 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:18:31 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:18:32 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:18:32 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:18:32 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:18:34 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:18:34 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:18:35 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:18:36 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:18:37 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:18:40 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:18:41 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:18:41 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:18:42 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:18:42 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:18:55 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:18:55 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:18:56 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:18:56 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:18:57 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:18:57 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:19:14 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:19:14 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:19:15 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:19:16 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:19:17 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:19:18 2020, board: 1, dev: 1, status: Off
